ts,swLong,swLat,neLong,neLat,tweet
1341873793,-0.2159633,51.48387,-0.109978,51.539768,"@tofuleader23 THE REST OF EXO ARE UNFORTUNATELY FOLLOWERS OF SATAN!LULU WAYS, AND ARE NOT INCLUDED!"
1341873794,0.0748022,51.408711,0.223574,51.514998,"OMG Wikipedia says Oscar plays for Chelsea!! lol...#Doh"
1341873794,-0.2159633,51.48387,-0.109978,51.539768,"@CorynBetts Yes you are xx"
1341873797,-0.457447,51.420633,-0.243419,51.502851,"@SammyJayn you like triangles for one thing :3"
1341873797,-0.2159633,51.48387,-0.109978,51.539768,"Acabei de publicar uma foto  @ Piccadilly Circus http://t.co/qITjN4wV"
1341873798,-0.2159633,51.48387,-0.109978,51.539768,"ودي اصدق بس قويه مرررررره 
ههههههههههههههههههههههههه 
http://t.co/Ik51VN1f"
1341873799,-0.2284741,51.477157,-0.1497908,51.5303498,"No steps between Oval &amp; St Johns Wood?!   RT ""Dan Dando @djfdando #transportforlondon really are stupid!!!! http://t.co/Ym0c8lDu """
1341873800,-0.5093057,51.286606,0.334433,51.691672,"Lost another follower! I don't need this right now..... #RIP #mygrandmother and #RIPManon"
1341873800,-0.2159633,51.48387,-0.109978,51.539768,"@lisrubio sei lá, foi a primeira coisa que me veio na cabeça, se você quiser ir vá HAHAHA abn sempre é legal!"
1341873801,-0.5093057,51.286606,0.334433,51.691672,"@boriscalzadia @BillyDanielVC @Fanaticos21 awebo hdp hay que ir al canal 21 y al indes por la chelo hdp"
1341873801,-0.5093057,51.286606,0.334433,51.691672,"a maioria dos fcs da carol estão com o avatar igual isso confundi pra porra,carol tem não sei quantas fts e vcs ficam colocando a msm"
1341873801,-0.2159633,51.48387,-0.109978,51.539768,"she didn't even see me and she was only up the road ¬__¬"
1341873807,-0.1415223,51.5185518,-0.076305,51.5749096,"@HQRRY reveal more stories then!"
1341873807,-0.457447,51.420633,-0.243419,51.502851,"Gimme bbm pins xo"
1341873810,-0.5093057,51.286606,0.334433,51.691672,"@ohsupraman ¿DÓNDE LO ESTAS VIENDO? Yo busqué los capítulos en youtube pero no los encontré en español :("
1341873811,-0.2159633,51.48387,-0.109978,51.539768,"@lisrubio é muito dificil ser chato"
1341873813,-0.5093057,51.286606,0.334433,51.691672,"odio cuando ""hablo"" con alguien pero ese alguien no me está escuchando."
1341873815,-0.5093057,51.286606,0.334433,51.691672,"estou com tanta dor de cabeça!"
1341873817,-0.1415223,51.5185518,-0.076305,51.5749096,"@simonnash1980 thank u puta!c"
1341873818,-0.2159633,51.48387,-0.109978,51.539768,"@RaeOfSun_x lol, well good luck with that then."
1341873818,-0.254563,51.463873,-0.177653,51.532901,#PleaseFelateMe
1341873822,-0.254563,51.463873,-0.177653,51.532901,"@AllanAshan ""i'm the one you looking for cause i'm the big attention whore"" #Bitch #Slut #SpankMyAss . LOL"
1341873824,-0.2159633,51.48387,-0.109978,51.539768,"@J_Badat LOL Terrible ? Shocking ?"
1341873824,-0.5093057,51.286606,0.334433,51.691672,"@BobyHoran if u rt me, i will cry a lotttttttttt #ILoveBobyHoran :) xx"
1341873824,-0.5093057,51.286606,0.334433,51.691672,"i don't want more or less, i want equal."
1341873826,-0.2159633,51.48387,-0.109978,51.539768,"@FourFourTom Harry Redknapp is the new computer administrator at the FA. 2 plus 2 equals 5."
1341873830,-6.3651943,49.8825312,1.768926,55.8116485,"Is going to bed night everyone xxx"
1341873831,-0.5093057,51.286606,0.334433,51.691672,"uff na szczescie wlasnie udalo mi sie to odzyskac :)"
1341873832,-0.2159633,51.48387,-0.109978,51.539768,"@jasknowles You're my favourite ☺"
1341873835,-0.2159633,51.48387,-0.109978,51.539768,"@senshiny I JUST WANT TO BE YOUNG!!!!!! ;_; IS THAT SO WRONG? IS IT A CRIME? I JUST WANT TO BE YOUNG FOREVER!"
1341873835,-0.2159633,51.48387,-0.109978,51.539768,"@lucy_leckey DID U SAY!?"
1341873847,-0.5093057,51.286606,0.334433,51.691672,http://t.co/PS4ObO8u
1341873850,-0.5093057,51.286606,0.334433,51.691672,"@HeyyKidrauhl At least I'm not the only one... I know he will never notice me,there're so many people tweeting him"
1341873856,-0.15169,51.410966,-0.079053,51.509887,"@3rdspearcarrier @mjpockle @polyg @weez you mean Henry isn't always presented with a box of tennis balls?"
1341873857,-0.5093057,51.286606,0.334433,51.691672,"@BillyDanielVC @boriscalzadia @Fanaticos21 y a vos que ondas njds maje .I. alianzista hdp ahhahhahahhahhahahxDD"
